cell_id,workload,runtime,vm,variant,tier,aggregate,lifecycle,work,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,rerun_recommended
sieve-rxvm,Sieve,crexx,rxvm,equivalent-port,A,yes,no,5500,normalized_work_per_second,10,4749.551815,4789.246281,4857.606848,4896.301207,5062.056207,63.212257,1.301305,6.433299,no
sieve-rxtvm,Sieve,crexx,rxtvm,concrete-engine-control,A,yes,no,5500,normalized_work_per_second,10,4718.943986,4772.693606,4873.470079,4953.910949,5104.304135,101.308798,2.078782,7.907305,no
sieve-oorexx,Sieve,oorexx,oorexx,equivalent-port,A,yes,no,5500,normalized_work_per_second,10,659.996938,687.185620,693.055728,698.713485,702.269787,6.235991,0.899782,6.099488,no
sieve-netrexx,Sieve,netrexx,netrexx,decimal-rexx-port,A,yes,no,5500,normalized_work_per_second,10,2391.320983,2518.536403,2539.001424,2566.767975,2598.810312,27.376002,1.078219,8.172084,no
permute-rxvm,Permute,crexx,rxvm,equivalent-port,A,yes,no,5000,normalized_work_per_second,10,2393.695962,2434.214991,2456.712661,2497.745691,2610.160520,39.817039,1.620745,8.811147,no
permute-rxtvm,Permute,crexx,rxtvm,concrete-engine-control,A,yes,no,5000,normalized_work_per_second,10,2287.009648,2315.112804,2326.232365,2419.795905,2449.071557,37.128817,1.596092,6.966712,no
permute-oorexx,Permute,oorexx,oorexx,equivalent-port,A,yes,no,5000,normalized_work_per_second,20,263.104886,271.101235,287.179362,313.851453,317.416645,22.625698,7.878595,18.912139,yes
permute-netrexx,Permute,netrexx,netrexx,decimal-rexx-port,A,yes,no,5000,normalized_work_per_second,20,3976.203219,4096.656748,4434.600259,4563.129621,4671.552488,194.094896,4.376830,15.680089,yes
bounce-rxvm,Bounce,crexx,rxvm,equivalent-port,A,yes,no,4200,normalized_work_per_second,10,3243.355947,3251.276278,3264.322043,3270.246769,3297.881111,8.600814,0.263479,1.670337,no
bounce-rxtvm,Bounce,crexx,rxtvm,concrete-engine-control,A,yes,no,4200,normalized_work_per_second,10,3128.139777,3173.118600,3197.514094,3211.237615,3250.648195,22.996032,0.719185,3.831364,no
bounce-oorexx,Bounce,oorexx,oorexx,equivalent-port,A,yes,no,4200,normalized_work_per_second,10,772.323316,811.589539,820.525950,823.965769,829.846988,6.202985,0.755977,7.010585,no
bounce-netrexx,Bounce,netrexx,netrexx,decimal-rexx-port,A,yes,no,4200,normalized_work_per_second,20,1636.834067,1837.813382,1967.846644,2076.983505,2126.632887,112.156725,5.699465,24.890091,yes
richards-rxvm,Richards,crexx,rxvm,common-state-machine,A,yes,no,20,normalized_work_per_second,10,7.570361,7.975363,8.094853,8.247768,8.311671,0.146510,1.809916,9.157797,no
richards-rxtvm,Richards,crexx,rxtvm,concrete-engine-control,A,yes,no,20,normalized_work_per_second,10,7.790665,7.956226,8.154702,8.272899,8.293738,0.137885,1.690867,6.169113,no
richards-oorexx,Richards,oorexx,oorexx,common-state-machine,A,yes,no,20,normalized_work_per_second,20,8.649760,9.590368,9.755552,10.555169,11.373194,0.502416,5.150054,27.916761,yes
