section,name,value,id,count,total_ns,average_ns,min_ns,max_ns,percent,selected,entries,resumes,terminals,module,kind,completed,unwound,return_type,args,bytes,max_bytes,high_water,status
summary,schema_version,5,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,vm_mode,rxvm,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,profile_mode,timing,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,result,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,timer_read_min_ns,41,,1,41,41,41,41,0,,,,,,,,,,,,,,
summary,timer_zero_deltas,746,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,interrupt_polls,16787964,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,invalid_events,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,counter_overflow,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,procedure_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,allocation_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,census_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
summary,branch_tracking_unavailable,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
status,"instructions","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"procedures","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"allocations","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"call_census","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"frame_entry","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"value_operations","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
status,"branch_sites","complete",,0,0,0,0,0,0,,,,,,,,,,,,,,"complete"
instruction,POSCHAR_REG_REG_REG,,153,683003,86084666,126,0,34750,29.779465,,,,,,,,,,,,,,
instruction,IADD_REG_REG_INT,,16,2736524,34078715,12,0,47875,11.788928,,,,,,,,,,,,,,
